,Bank Name,City,State,Cert,Acquiring Institution,Closing Date,year
446,First State Bank of Altus,Altus,OK,9873,Herring Bank,2009-07-31,2009
447,Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,2009-07-24,2009
448,Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,2009-07-24,2009
449,Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,2009-07-24,2009
450,Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,2009-07-24,2009
451,Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,2009-07-24,2009
452,Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,2009-07-24,2009
453,Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",2009-07-24,2009
454,Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,2009-07-17,2009
455,Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,2009-07-17,2009
456,BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",2009-07-17,2009
457,First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,2009-07-17,2009
458,Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,2009-07-10,2009
459,Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2009-07-02,2009
460,Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,2009-07-02,2009
461,First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2009-07-02,2009
462,The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2009-07-02,2009
463,Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2009-07-02,2009
464,First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2009-07-02,2009
465,John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,2009-07-02,2009
466,Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,2009-06-26,2009
467,MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,2009-06-26,2009
468,Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.",2009-06-26,2009
469,Neighborhood Community Bank,Newnan,GA,35285,CharterBank,2009-06-26,2009
